,name_road,oldname_road,points
0,0,314,"[(30.67914647, 104.0217392), (30.67849209, 104.022412)]"
1,1,369,"[(30.66139729, 104.0782286), (30.66062591, 104.0797902)]"
2,2,612,"[(30.6678427, 104.0662788), (30.66946366, 104.0663159)]"
3,3,646,"[(30.65744999, 104.0704498), (30.65608713, 104.0696195)]"
4,4,669,"[(30.68381535, 104.0361049), (30.68164203, 104.0406601)]"
5,5,856,"[(30.6551454, 104.0688632), (30.65381329, 104.0677955)]"
6,6,990,"[(30.68693798, 104.0498319), (30.69056278, 104.0488623)]"
7,7,1186,"[(30.67324036, 104.0634855), (30.67187144, 104.0625021)]"
8,8,1187,"[(30.67295026, 104.0640141), (30.67324036, 104.0634855)]"
9,9,1188,"[(30.67394402, 104.064009), (30.67324036, 104.0634855)]"
10,10,1273,"[(30.65887109, 104.0617403), (30.65879461, 104.0633208)]"
11,11,1274,"[(30.66071793, 104.0617125), (30.65887109, 104.0617403)]"
12,12,1575,"[(30.67201962, 104.066047), (30.67295026, 104.0640141)]"
13,13,1578,"[(30.66386644, 104.0728306), (30.66310274, 104.0744995)]"
14,14,1674,"[(30.66585121, 104.0810256), (30.66389343, 104.0798131)]"
15,15,1677,"[(30.66728632, 104.0819461), (30.66585121, 104.0810256)]"
16,16,1710,"[(30.67849209, 104.022412), (30.67793555, 104.0241872)]"
17,17,1748,"[(30.68739702, 104.0311269), (30.68488876, 104.034529)]"
18,18,1751,"[(30.66945889, 104.0597426), (30.66775043, 104.0599328)]"
19,19,1779,"[(30.66775043, 104.0599328), (30.66775544, 104.0630465)]"
20,20,1789,"[(30.67190071, 104.0387221), (30.67403805, 104.0400981)]"
21,21,1830,"[(30.66389343, 104.0798131), (30.66139729, 104.0782286)]"
22,22,1860,"[(30.6743258, 104.0709467), (30.67514299, 104.0692409)]"
23,23,2058,"[(30.66270572, 104.0618457), (30.66071793, 104.0617125)]"
24,24,2059,"[(30.6647108, 104.0632366), (30.66270572, 104.0618457)]"
25,25,2091,"[(30.67059491, 104.0707136), (30.6717139, 104.0682796)]"
26,26,2114,"[(30.67516952, 104.0255582), (30.67753043, 104.0261589)]"
27,27,2115,"[(30.67753043, 104.0261589), (30.67764865, 104.0293844)]"
28,28,2116,"[(30.67793555, 104.0241872), (30.67753043, 104.0261589)]"
29,29,2117,"[(30.67753043, 104.0261589), (30.67975536, 104.0267466)]"
30,30,2274,"[(30.69165952, 104.0545982), (30.68829729, 104.0566467)]"
31,31,2275,"[(30.66253637, 104.0649365), (30.6647108, 104.0632366)]"
32,32,2376,"[(30.67403805, 104.0400981), (30.6710722, 104.0460036)]"
33,33,2391,"[(30.66139729, 104.0782286), (30.65990178, 104.0773122)]"
34,34,2421,"[(30.69056278, 104.0488623), (30.69380317, 104.0483609)]"
35,35,2422,"[(30.69380317, 104.0483609), (30.69684411, 104.0472725)]"
36,36,2454,"[(30.65608713, 104.0696195), (30.6551454, 104.0688632)]"
37,37,2511,"[(30.65879461, 104.0633208), (30.65903044, 104.0647459)]"
38,38,2514,"[(30.69292497, 104.0546653), (30.69165952, 104.0545982)]"
39,39,2515,"[(30.69708848, 104.0548859), (30.69292497, 104.0546653)]"
40,40,2578,"[(30.67764865, 104.0293844), (30.67761252, 104.0310763)]"
41,41,2621,"[(30.6717139, 104.0682796), (30.67201962, 104.066047)]"
42,42,2643,"[(30.65441931, 104.0722331), (30.65602721, 104.0733239)]"
43,43,2647,"[(30.65903044, 104.0647459), (30.65898704, 104.0685263)]"
44,44,2699,"[(30.67627372, 104.0337804), (30.67482664, 104.0380169)]"
45,45,2700,"[(30.67761252, 104.0310763), (30.67627372, 104.0337804)]"
46,46,2718,"[(30.65259729, 104.0741366), (30.6538646, 104.0719955)]"
47,47,2720,"[(30.6538646, 104.0719955), (30.65441931, 104.0722331)]"
48,48,2740,"[(30.66775544, 104.0630465), (30.6678427, 104.0662788)]"
49,49,2775,"[(30.6718376, 104.0247463), (30.67516952, 104.0255582)]"
50,50,2870,"[(30.65903044, 104.0647459), (30.6607499, 104.0649632)]"
51,51,2872,"[(30.6607499, 104.0649632), (30.66253637, 104.0649365)]"
52,52,2885,"[(30.67529443, 104.06481), (30.67394402, 104.064009)]"
53,53,2904,"[(30.66221135, 104.0764857), (30.66139729, 104.0782286)]"
54,54,2905,"[(30.66310274, 104.0744995), (30.66221135, 104.0764857)]"
55,55,2916,"[(30.68488876, 104.034529), (30.68381535, 104.0361049)]"
56,56,3067,"[(30.68572405, 104.0444437), (30.6867731, 104.0439712)]"
57,57,3068,"[(30.68723173, 104.0428231), (30.6867731, 104.0439712)]"
58,58,3362,"[(30.67648682, 104.0192811), (30.67914647, 104.0217392)]"
59,59,3363,"[(30.68025139, 104.0229629), (30.67914647, 104.0217392)]"
60,60,3413,"[(30.65916798, 104.078706), (30.66062591, 104.0797902)]"
61,61,3414,"[(30.65950096, 104.0821018), (30.66062591, 104.0797902)]"
62,62,3415,"[(30.66323476, 104.0814139), (30.66062591, 104.0797902)]"
63,63,3486,"[(30.66972895, 104.0723581), (30.67124245, 104.0733448)]"
64,64,3487,"[(30.66974975, 104.0766779), (30.67124245, 104.0733448)]"
65,65,3488,"[(30.67202107, 104.0715214), (30.67124245, 104.0733448)]"
66,66,3489,"[(30.67271422, 104.0744083), (30.67124245, 104.0733448)]"
67,67,3519,"[(30.66266858, 104.0537493), (30.66779109, 104.0534762)]"
68,68,3520,"[(30.6693854, 104.0497155), (30.66779109, 104.0534762)]"
69,69,3521,"[(30.67093727, 104.0537252), (30.66779109, 104.0534762)]"
70,70,3543,"[(30.69708848, 104.0548859), (30.69713022, 104.0568862)]"
71,71,3544,"[(30.69292497, 104.0546653), (30.69713022, 104.0568862)]"
72,72,3556,"[(30.66826907, 104.0266969), (30.67140608, 104.0273319)]"
73,73,3557,"[(30.67099192, 104.0295701), (30.67140608, 104.0273319)]"
74,74,3558,"[(30.6718376, 104.0247463), (30.67140608, 104.0273319)]"
75,75,3559,"[(30.66695776, 104.0748457), (30.66829634, 104.0756937)]"
76,76,3560,"[(30.66741927, 104.07744), (30.66829634, 104.0756937)]"
77,77,3561,"[(30.66972895, 104.0723581), (30.66829634, 104.0756937)]"
78,78,3562,"[(30.66974975, 104.0766779), (30.66829634, 104.0756937)]"
79,79,3581,"[(30.68486415, 104.0427153), (30.68572405, 104.0444437)]"
80,80,3582,"[(30.68596676, 104.0455297), (30.68572405, 104.0444437)]"
81,81,3650,"[(30.66947157, 104.0657402), (30.66946366, 104.0663159)]"
82,82,3651,"[(30.66950393, 104.0681003), (30.66946366, 104.0663159)]"
83,83,3652,"[(30.66221135, 104.0764857), (30.66468753, 104.0781096)]"
84,84,3653,"[(30.66389343, 104.0798131), (30.66468753, 104.0781096)]"
85,85,3654,"[(30.66566031, 104.0761884), (30.66468753, 104.0781096)]"
86,86,3655,"[(30.66658936, 104.0792781), (30.66468753, 104.0781096)]"
87,87,3678,"[(30.66603272, 104.0433938), (30.66880677, 104.0451214)]"
88,88,3679,"[(30.6673649, 104.049146), (30.66880677, 104.0451214)]"
89,89,3680,"[(30.6710722, 104.0460036), (30.66880677, 104.0451214)]"
90,90,3681,"[(30.67190071, 104.0387221), (30.66880677, 104.0451214)]"
91,91,3682,"[(30.65684818, 104.0716869), (30.65744999, 104.0704498)]"
92,92,3683,"[(30.65841363, 104.0685349), (30.65744999, 104.0704498)]"
93,93,3684,"[(30.66099639, 104.0729025), (30.65744999, 104.0704498)]"
94,94,3702,"[(30.67962794, 104.0394068), (30.68164203, 104.0406601)]"
95,95,3703,"[(30.68304127, 104.0416006), (30.68164203, 104.0406601)]"
96,96,3744,"[(30.6563458, 104.085206), (30.65673383, 104.0842535)]"
97,97,3745,"[(30.65811967, 104.0811576), (30.65673383, 104.0842535)]"
98,98,3746,"[(30.65815153, 104.0851728), (30.65673383, 104.0842535)]"
99,99,3771,"[(30.65688755, 104.0583608), (30.65705933, 104.0634634)]"
100,100,3772,"[(30.65498885, 104.063511), (30.65705933, 104.0634634)]"
101,101,3773,"[(30.65714859, 104.0679573), (30.65705933, 104.0634634)]"
102,102,3774,"[(30.65879461, 104.0633208), (30.65705933, 104.0634634)]"
103,103,3803,"[(30.6627216, 104.0697571), (30.66615043, 104.0697966)]"
104,104,3804,"[(30.66451347, 104.0732972), (30.66615043, 104.0697966)]"
105,105,3805,"[(30.66609783, 104.0683074), (30.66615043, 104.0697966)]"
106,106,3806,"[(30.66829663, 104.0713876), (30.66615043, 104.0697966)]"
107,107,3830,"[(30.66967255, 104.0811962), (30.67110531, 104.0821882)]"
108,108,3831,"[(30.66959784, 104.0854869), (30.67110531, 104.0821882)]"
109,109,3832,"[(30.67192313, 104.0803937), (30.67110531, 104.0821882)]"
110,110,3833,"[(30.67384238, 104.0840318), (30.67110531, 104.0821882)]"
111,111,3855,"[(30.67466021, 104.0621684), (30.67481854, 104.0623267)]"
112,112,3856,"[(30.67394402, 104.064009), (30.67481854, 104.0623267)]"
113,113,3857,"[(30.67607279, 104.0631321), (30.67481854, 104.0623267)]"
114,114,3882,"[(30.65097336, 104.0665173), (30.65381329, 104.0677955)]"
115,115,3883,"[(30.65189819, 104.0701792), (30.65381329, 104.0677955)]"
116,116,3884,"[(30.65485151, 104.0664825), (30.65381329, 104.0677955)]"
117,117,3904,"[(30.66162768, 104.0847123), (30.66383958, 104.0859453)]"
118,118,3905,"[(30.66401786, 104.0861632), (30.66383958, 104.0859453)]"
119,119,3906,"[(30.66419702, 104.0844988), (30.66383958, 104.0859453)]"
120,120,3918,"[(30.68440161, 104.0422872), (30.68684125, 104.0402926)]"
121,121,3919,"[(30.68582265, 104.041945), (30.68684125, 104.0402926)]"
122,122,3920,"[(30.6876936, 104.0396273), (30.68684125, 104.0402926)]"
123,123,3956,"[(30.66001727, 104.0881928), (30.66187992, 104.0892991)]"
124,124,3957,"[(30.66262974, 104.0880259), (30.66187992, 104.0892991)]"
125,125,3958,"[(30.66368435, 104.0896351), (30.66187992, 104.0892991)]"
126,126,3979,"[(30.6485309, 104.0724705), (30.64887984, 104.0696483)]"
127,127,3980,"[(30.64989872, 104.0637012), (30.64887984, 104.0696483)]"
128,128,3981,"[(30.65116749, 104.0698233), (30.64887984, 104.0696483)]"
129,129,3997,"[(30.6553011, 104.0574646), (30.65699134, 104.0560656)]"
130,130,3998,"[(30.65769089, 104.0549972), (30.65699134, 104.0560656)]"
131,131,4008,"[(30.68596676, 104.0455297), (30.68693798, 104.0498319)]"
132,132,4009,"[(30.68263452, 104.051193), (30.68693798, 104.0498319)]"
133,133,4010,"[(30.68752187, 104.0526151), (30.68693798, 104.0498319)]"
134,134,4056,"[(30.69048312, 104.0350245), (30.69170185, 104.0364018)]"
135,135,4057,"[(30.68899368, 104.0385937), (30.69170185, 104.0364018)]"
136,136,4058,"[(30.69392231, 104.0390211), (30.69170185, 104.0364018)]"
137,137,4111,"[(30.6647771, 104.0210888), (30.66475911, 104.0192041)]"
138,138,4113,"[(30.66725688, 104.0190987), (30.66475911, 104.0192041)]"
139,139,4114,"[(30.66903116, 104.0784525), (30.67048239, 104.0794847)]"
140,140,4115,"[(30.66967255, 104.0811962), (30.67048239, 104.0794847)]"
141,141,4116,"[(30.67124474, 104.0778208), (30.67048239, 104.0794847)]"
142,142,4117,"[(30.67192313, 104.0803937), (30.67048239, 104.0794847)]"
143,143,4130,"[(30.68462845, 104.0280154), (30.68599766, 104.0295217)]"
144,144,4131,"[(30.68739702, 104.0311269), (30.68599766, 104.0295217)]"
145,145,4192,"[(30.67517099, 104.055294), (30.67840135, 104.0577632)]"
146,146,4193,"[(30.67652495, 104.0579073), (30.67840135, 104.0577632)]"
147,147,4194,"[(30.67607279, 104.0631321), (30.67840135, 104.0577632)]"
148,148,4195,"[(30.6801717, 104.0552225), (30.67840135, 104.0577632)]"
149,149,4196,"[(30.68391526, 104.0601849), (30.67840135, 104.0577632)]"
150,150,4222,"[(30.66577495, 104.0663676), (30.66585244, 104.0683242)]"
151,151,4223,"[(30.66259625, 104.0684967), (30.66585244, 104.0683242)]"
152,152,4224,"[(30.66609783, 104.0683074), (30.66585244, 104.0683242)]"
153,153,4246,"[(30.64586314, 104.0804742), (30.64925009, 104.0817032)]"
154,154,4248,"[(30.64973437, 104.0808711), (30.64925009, 104.0817032)]"
155,155,4249,"[(30.65151133, 104.0827149), (30.64925009, 104.0817032)]"
156,156,4256,"[(30.69163822, 104.0433067), (30.69339601, 104.0455286)]"
157,157,4257,"[(30.69380317, 104.0483609), (30.69339601, 104.0455286)]"
158,158,4258,"[(30.6964945, 104.0436286), (30.69339601, 104.0455286)]"
159,159,4274,"[(30.682564, 104.064995), (30.68391526, 104.0601849)]"
160,160,4275,"[(30.68386085, 104.0589175), (30.68391526, 104.0601849)]"
161,161,4282,"[(30.6587772, 104.0582534), (30.65887109, 104.0617403)]"
162,162,4318,"[(30.68902882, 104.0331073), (30.69048312, 104.0350245)]"
163,163,4337,"[(30.68381535, 104.0361049), (30.68504933, 104.0372435)]"
164,164,4338,"[(30.68304127, 104.0416006), (30.68504933, 104.0372435)]"
165,165,4339,"[(30.68553984, 104.0376705), (30.68504933, 104.0372435)]"
166,166,4344,"[(30.6587772, 104.0582534), (30.66070539, 104.0581439)]"
167,167,4345,"[(30.66075741, 104.0602277), (30.66070539, 104.0581439)]"
168,168,4346,"[(30.66240031, 104.0581438), (30.66070539, 104.0581439)]"
169,169,4347,"[(30.66266858, 104.0537493), (30.66070539, 104.0581439)]"
170,170,4358,"[(30.67706348, 104.0467099), (30.67856027, 104.0489797)]"
171,171,4359,"[(30.67709606, 104.0514072), (30.67856027, 104.0489797)]"
172,172,4360,"[(30.68136594, 104.0535507), (30.67856027, 104.0489797)]"
173,173,4361,"[(30.68324646, 104.0432434), (30.67856027, 104.0489797)]"
174,174,4417,"[(30.6485309, 104.0724705), (30.65083318, 104.0726028)]"
175,175,4418,"[(30.64984915, 104.0759907), (30.65083318, 104.0726028)]"
176,176,4419,"[(30.65189819, 104.0701792), (30.65083318, 104.0726028)]"
177,177,4420,"[(30.65259729, 104.0741366), (30.65083318, 104.0726028)]"
178,178,4499,"[(30.68582265, 104.041945), (30.68723173, 104.0428231)]"
179,179,4500,"[(30.68972023, 104.0450692), (30.68723173, 104.0428231)]"
180,180,4523,"[(30.6743258, 104.0709467), (30.67587069, 104.0719208)]"
181,181,4524,"[(30.67497315, 104.0738388), (30.67587069, 104.0719208)]"
182,182,4525,"[(30.67806439, 104.0679123), (30.67587069, 104.0719208)]"
183,183,4540,"[(30.6517935, 104.0549607), (30.6535869, 104.0562259)]"
184,184,4541,"[(30.65264309, 104.0581861), (30.6535869, 104.0562259)]"
185,185,4542,"[(30.6553011, 104.0574646), (30.6535869, 104.0562259)]"
186,186,4543,"[(30.65569411, 104.0530059), (30.6535869, 104.0562259)]"
187,187,4562,"[(30.65755893, 104.0863404), (30.65815153, 104.0851728)]"
188,188,4563,"[(30.65886582, 104.083667), (30.65815153, 104.0851728)]"
189,189,4564,"[(30.66062918, 104.0867086), (30.65815153, 104.0851728)]"
190,190,4575,"[(30.67144791, 104.0632252), (30.67295026, 104.0640141)]"
191,191,4576,"[(30.67506014, 104.0653152), (30.67295026, 104.0640141)]"
192,192,4577,"[(30.66243375, 104.0719509), (30.66386644, 104.0728306)]"
193,193,4578,"[(30.66451347, 104.0732972), (30.66386644, 104.0728306)]"
194,194,4606,"[(30.66940919, 104.058001), (30.67074252, 104.0580009)]"
195,195,4607,"[(30.67321994, 104.0595661), (30.67074252, 104.0580009)]"
196,196,4608,"[(30.67416757, 104.0579058), (30.67074252, 104.0580009)]"
197,197,4622,"[(30.66725688, 104.0190987), (30.67281507, 104.0189197)]"
198,198,4623,"[(30.67217959, 104.0227021), (30.67281507, 104.0189197)]"
199,199,4625,"[(30.67648682, 104.0192811), (30.67281507, 104.0189197)]"
200,200,4669,"[(30.66503017, 104.0824686), (30.66585121, 104.0810256)]"
201,201,4670,"[(30.66658936, 104.0792781), (30.66585121, 104.0810256)]"
202,202,4675,"[(30.69008656, 104.0566951), (30.69273539, 104.0570593)]"
203,203,4676,"[(30.69292497, 104.0546653), (30.69273539, 104.0570593)]"
204,204,4681,"[(30.6594657, 104.0362324), (30.65909862, 104.0385395)]"
205,205,4682,"[(30.66145875, 104.0385394), (30.65909862, 104.0385395)]"
206,206,4683,"[(30.64675931, 104.0783778), (30.64973437, 104.0808711)]"
207,207,4684,"[(30.65164009, 104.0769254), (30.64973437, 104.0808711)]"
208,208,4685,"[(30.65181091, 104.0821982), (30.64973437, 104.0808711)]"
209,209,4700,"[(30.67608461, 104.0214793), (30.67849209, 104.022412)]"
210,210,4705,"[(30.66539556, 104.0447227), (30.66603272, 104.0433938)]"
211,211,4706,"[(30.66861573, 104.0381346), (30.66603272, 104.0433938)]"
212,212,4711,"[(30.68899368, 104.0385937), (30.69333808, 104.0403035)]"
213,213,4712,"[(30.69163822, 104.0433067), (30.69333808, 104.0403035)]"
214,214,4713,"[(30.69392231, 104.0390211), (30.69333808, 104.0403035)]"
215,215,4714,"[(30.69517994, 104.0407045), (30.69333808, 104.0403035)]"
216,216,4738,"[(30.68820264, 104.0321046), (30.68739702, 104.0311269)]"
217,217,4739,"[(30.66940919, 104.058001), (30.66945889, 104.0597426)]"
218,218,4740,"[(30.66960555, 104.0629728), (30.66945889, 104.0597426)]"
219,219,4757,"[(30.67758218, 104.0758934), (30.67845521, 104.0734583)]"
220,220,4758,"[(30.67976462, 104.0690207), (30.67845521, 104.0734583)]"
221,221,4762,"[(30.66597437, 104.0600469), (30.66775043, 104.0599328)]"
222,222,4767,"[(30.68324646, 104.0432434), (30.68520249, 104.0456827)]"
223,223,4768,"[(30.68596676, 104.0455297), (30.68520249, 104.0456827)]"
224,224,4771,"[(30.67190239, 104.0380171), (30.67190071, 104.0387221)]"
225,225,4772,"[(30.67646893, 104.0666797), (30.67806439, 104.0679123)]"
226,226,4773,"[(30.67849467, 104.0667701), (30.67806439, 104.0679123)]"
227,227,4774,"[(30.67976462, 104.0690207), (30.67806439, 104.0679123)]"
228,228,4786,"[(30.66725688, 104.0190987), (30.66812114, 104.0228234)]"
229,229,4787,"[(30.66826907, 104.0266969), (30.66812114, 104.0228234)]"
230,230,4788,"[(30.67217959, 104.0227021), (30.66812114, 104.0228234)]"
231,231,4807,"[(30.65538228, 104.0500586), (30.65616209, 104.0456983)]"
232,232,4808,"[(30.65952867, 104.0430632), (30.65616209, 104.0456983)]"
233,233,4809,"[(30.66323476, 104.0814139), (30.66389343, 104.0798131)]"
234,234,4836,"[(30.6728792, 104.0698106), (30.6743258, 104.0709467)]"
235,235,4837,"[(30.67363721, 104.0726142), (30.6743258, 104.0709467)]"
236,236,4840,"[(30.69056278, 104.0488623), (30.68972023, 104.0450692)]"
237,237,4841,"[(30.69163822, 104.0433067), (30.68972023, 104.0450692)]"
238,238,4883,"[(30.67403805, 104.0400981), (30.6770055, 104.0418638)]"
239,239,4884,"[(30.6751396, 104.0455126), (30.6770055, 104.0418638)]"
240,240,4885,"[(30.67848323, 104.0387343), (30.6770055, 104.0418638)]"
241,241,4894,"[(30.65083815, 104.05724), (30.6517935, 104.0549607)]"
242,242,4895,"[(30.65538228, 104.0500586), (30.6517935, 104.0549607)]"
243,243,4945,"[(30.68440161, 104.0422872), (30.68304127, 104.0416006)]"
244,244,4962,"[(30.6516143, 104.0636453), (30.65165033, 104.0642409)]"
245,245,4963,"[(30.65097336, 104.0665173), (30.65165033, 104.0642409)]"
246,246,4964,"[(30.65485151, 104.0664825), (30.65165033, 104.0642409)]"
247,247,4965,"[(30.65950096, 104.0821018), (30.66130424, 104.0827159)]"
248,248,4966,"[(30.66231551, 104.0833203), (30.66130424, 104.0827159)]"
249,249,4991,"[(30.66658936, 104.0792781), (30.66813158, 104.0802769)]"
250,250,4992,"[(30.66728632, 104.0819461), (30.66813158, 104.0802769)]"
251,251,4993,"[(30.66903116, 104.0784525), (30.66813158, 104.0802769)]"
252,252,4994,"[(30.66967255, 104.0811962), (30.66813158, 104.0802769)]"
253,253,5003,"[(30.67190239, 104.0380171), (30.67271158, 104.038017)]"
254,254,5004,"[(30.67337488, 104.0326736), (30.67271158, 104.038017)]"
255,255,5005,"[(30.67482664, 104.0380169), (30.67271158, 104.038017)]"
256,256,5017,"[(30.65498885, 104.063511), (30.65485151, 104.0664825)]"
